# order	step_id	day	title	required_output
001	setup.index	Setup	index-14-days.mdでレッスン全体と14日版の入口を確認する	14日版の目的と順番の了承
002	setup.github-login	Setup	github-login-setup-guide.mdでGitHub接続を確認する	github-loginまたはghでGitHub接続確認
003	day1.roadmap	Day 1	14日間の学習ロードマップを確認する	ROADMAP.mdの現在地確認
004	day1.lesson-controls	Day 1	lesson14、roadmap、helpdeskの使い方を確認する	拡張レッスン制御コマンドの理解
005	day1.repository-boundary	Day 1	教材リポジトリと成果物リポジトリの境界を確認する	並列配置と誤配置防止の理解
006	day1.sync-gate	Day 1	Day 1同期ゲートを通過する	学習記録と現在地の同期
007	day2.git-basics	Day 2	Gitのstatus、add、commitの役割を確認する	ローカルGit管理の理解
008	day2.github-connection	Day 2	gh、SSH、GitHub接続を確認する	GitHub接続確認
009	day2.remote-sync	Day 2	remote、push、pull、fetchの役割を確認する	ローカルとリモート同期の理解
010	day2.sync-gate	Day 2	Day 2同期ゲートを通過する	GitHub接続と学習記録の同期
011	day3.product-repo	Day 3	成果物リポジトリを教材外に作る流れを確認する	成果物リポジトリ境界と別CLI起動の理解
012	day3.memory-docs	Day 3	AGENT.mdと各メモリー文書の役割を確認する	メモリー文書の役割理解
013	day3.initial-commit	Day 3	成果物リポジトリで初回commitを体験する	初回commit体験
014	day3.sync-gate	Day 3	Day 3同期ゲートを通過する	成果物リポジトリ状態と学習記録の同期
015	day4.requirements	Day 4	REQUIREMENTS.mdを作成する	要件初期案
016	day4.specification	Day 4	SPECIFICATION.mdを作成する	仕様初期案
017	day4.implementation-plan	Day 4	IMPLEMENTATION_PLAN.mdを作成する	実装計画初期案
018	day4.sync-gate	Day 4	Day 4同期ゲートを通過する	3文書の作成状態同期
019	day5.initial-tracker-handoff	Day 5	TASK_TRACKER.mdとHANDOFF.mdへ初回作成を記録する	初回履歴記録
020	day5.main-ci	Day 5	mainブランチのCIを作成して実行する	main CIの実行確認
021	day5.remote-push	Day 5	commit、push、GitHub上の状態確認を体験する	ローカルとリモートの一致確認
022	day5.sync-gate	Day 5	Day 5同期ゲートを通過する	3文書、履歴、GitHub状態の同期
023	day6.screen-structure	Day 6	index.htmlの画面構成を作成する	画面骨組み
024	day6.accessibility-copy	Day 6	非エンジニア向けに画面文言を整える	画面文言と入力項目の確認
025	day6.local-check	Day 6	ブラウザで開く前提のローカル確認を行う	ローカル表示確認
026	day6.sync-gate	Day 6	Day 6同期ゲートを通過する	画面構成と文書の同期
027	day7.task-add-behavior	Day 7	app.jsでタスク追加の動きを作成する	タスク追加動作
028	day7.validation	Day 7	空欄チェックと入力リセットを確認する	基本動作確認
029	day7.unit-check	Day 7	小さな実装単体テストまたは手動確認を記録する	実装確認ログ
030	day7.sync-gate	Day 7	Day 7同期ゲートを通過する	動作、履歴、文書の同期
031	day8.handoff-stop	Day 8	HANDOFF.mdを使って中断記録を残す	中断記録
032	day8.handoff-resume	Day 8	HANDOFF.mdを読んで再開する	再開体験
033	day8.tracker-update	Day 8	TASK_TRACKER.mdで進行状態を更新する	作業進捗更新
034	day8.sync-gate	Day 8	Day 8同期ゲートを通過する	中断再開と学習記録の同期
035	day9.work-branch	Day 9	作業ブランチを作成して変更を始める	作業ブランチ作成
036	day9.pr-ci	Day 9	PR作成とPR CIを体験する	PR CI確認
037	day9.merge-sync	Day 9	merge後にmainへ戻してpull同期する	mainとローカル同期
038	day9.sync-gate	Day 9	Day 9同期ゲートを通過する	PR、merge、同期状態の記録
039	day10.playwright-install	Day 10	Playwrightを導入する	Playwright導入確認
040	day10.e2e-test	Day 10	タスク管理表のE2Eテストを作成する	E2Eテスト作成
041	day10.e2e-local-run	Day 10	E2Eテストをローカルで実行する	E2Eローカル実行確認
042	day10.sync-gate	Day 10	Day 10同期ゲートを通過する	Playwrightと文書の同期
043	day11.e2e-ci	Day 11	PlaywrightをCIに組み込む	CI E2E実行確認
044	day11.failure-learning	Day 11	失敗ログを読み、修正して再実行する	失敗復旧体験
045	day11.docs-sync	Day 11	E2E導入後に3文書と履歴を同期する	テスト導入後の文書同期
046	day11.sync-gate	Day 11	Day 11同期ゲートを通過する	CIと文書の同期
047	day12.subagents-plan	Day 12	複数サブエージェントの役割分担を設計する	役割分担案
048	day12.subagents-review	Day 12	レビュー、テスト、同期確認の観点で精査する	多角的レビュー結果
049	day12.findings-fix	Day 12	指摘を整理し必要な修正を行う	修正または保留判断
050	day12.sync-gate	Day 12	Day 12同期ゲートを通過する	レビュー結果と履歴の同期
051	day13.skill-create	Day 13	小さなエージェントスキルを作成する	スキル作成
052	day13.skill-use	Day 13	作成したスキルを呼び出して使う	スキル利用確認
053	day13.mcp-minimal	Day 13	最小MCP連携でタスク管理表を便利にする	MCP連携体験
054	day13.sync-gate	Day 13	Day 13同期ゲートを通過する	スキル、MCP、文書の同期
055	day14.final-sync	Day 14	3文書、TASK_TRACKER.md、HANDOFF.mdを最終同期する	全文書同期
056	day14.release-readiness	Day 14	main CI、リモート同期、READMEを確認する	公開準備確認
057	day14.retrospective	Day 14	学習ロードマップとヘルプデスクを見返してふりかえる	学習ふりかえり
058	day14.complete	Day 14	14日版レッスンを完了する	完了判定と次の改善案
