# order	step_id	status	started_at	completed_at
001	setup.index	current		
002	setup.github-login	locked		
003	day1.roadmap	locked		
004	day1.lesson-controls	locked		
005	day1.repository-boundary	locked		
006	day1.sync-gate	locked		
007	day2.git-basics	locked		
008	day2.github-connection	locked		
009	day2.remote-sync	locked		
010	day2.sync-gate	locked		
011	day3.product-repo	locked		
012	day3.memory-docs	locked		
013	day3.initial-commit	locked		
014	day3.sync-gate	locked		
015	day4.requirements	locked		
016	day4.specification	locked		
017	day4.implementation-plan	locked		
018	day4.sync-gate	locked		
019	day5.initial-tracker-handoff	locked		
020	day5.main-ci	locked		
021	day5.remote-push	locked		
022	day5.sync-gate	locked		
023	day6.screen-structure	locked		
024	day6.accessibility-copy	locked		
025	day6.local-check	locked		
026	day6.sync-gate	locked		
027	day7.task-add-behavior	locked		
028	day7.validation	locked		
029	day7.unit-check	locked		
030	day7.sync-gate	locked		
031	day8.handoff-stop	locked		
032	day8.handoff-resume	locked		
033	day8.tracker-update	locked		
034	day8.sync-gate	locked		
035	day9.work-branch	locked		
036	day9.pr-ci	locked		
037	day9.merge-sync	locked		
038	day9.sync-gate	locked		
039	day10.playwright-install	locked		
040	day10.e2e-test	locked		
041	day10.e2e-local-run	locked		
042	day10.sync-gate	locked		
043	day11.e2e-ci	locked		
044	day11.failure-learning	locked		
045	day11.docs-sync	locked		
046	day11.sync-gate	locked		
047	day12.subagents-plan	locked		
048	day12.subagents-review	locked		
049	day12.findings-fix	locked		
050	day12.sync-gate	locked		
051	day13.skill-create	locked		
052	day13.skill-use	locked		
053	day13.mcp-minimal	locked		
054	day13.sync-gate	locked		
055	day14.final-sync	locked		
056	day14.release-readiness	locked		
057	day14.retrospective	locked		
058	day14.complete	locked		
