# phase_id	order	purpose	required_inputs	allowed_writes	recommended_checks	required_checks	git_ci_expectations	approval_requirements	cleanup_behavior	stop_conditions
# next_workflow_squash_merge_observation	Phase 6 supports exact merge and squash-merge delivery; Phase 7 requires the protected PR/head/merge/tree/PR-main-CI/check/synchronization observation and stops on every ambiguity.
# next_workflow_result_contract_closure	Phase 5 delivers the exact finding contract, validates returned identifiers without rewriting them, and keeps invalid results in the implementation loop; Phase 6 retains required remote evidence only after local proof passes.
# next_workflow_roll_forward	Before phase 6 starts remote Git/CI delivery, phase 5 must pass the complete replacement-candidate lifecycle regression; phase 6 still supplies independent remote evidence and returns only to the nearest affected phase on failure.
# instruction_authority	Context triage resolves AGENTS.MD invariants before the local-first procedural instruction layer; a present invalid local instruction blocks.
context_triage	1	Read AGENTS.MD, repository context, branch state, dirty worktree, relevant synchronized documents, and optional Git-ignored local memory only when present before proposing changes.	AGENTS.MD|git_status|sync_contract	none	check_lesson_structure|check_lesson14_structure|check_agents_skills	check_agents_skills	inspect_branch_only	none	plan_only	repository_mismatch|missing_AGENTS|untrusted_external_context
proposal	2	Convert wall discussion into purpose, solved problem, scope, non-scope, existing-feature impact, document updates, tests, and risk.	context_summary|developer_goal|existing_routes	none	check_test_plan_coverage	none	not_required	task_scope_continuation	plan_only	existing_feature_tradeoff|specification_conflict|unsupported_scope
implementation_plan	3	Produce implementation targets, order, document sync policy, verification, recovery, and approval boundaries before writing runtime code.	approved_proposal|docs_context|review_context	docs_planned_sync	check_as_built_sync_contract|check_as_built_docs|check_workflow_pair_sync	check_as_built_sync_contract|check_as_built_docs|check_workflow_pair_sync	not_required	task_scope_required_before_runtime	plan_only	missing_sync_id|metadata_mismatch|unresolved_major_review
fast_loop	4	Implement scoped changes with fast local feedback while preserving release-gate stop conditions.	approved_plan|dirty_worktree_inventory|owner_layer_identified	scoped_runtime_files	check_repository_development_workflow|test_repository_development_workflow|check_agents_skills	check_repository_development_workflow|test_repository_development_workflow	local_only	task_scope_required_for_writes|explicit_approval_for_destructive_or_scope_expansion	plan_only	unowned_user_changes|security_regression|existing_feature_tradeoff
mid_tests	5	Run medium verification for changed owner layers before heavy release proof.	implemented_scope|changed_paths|focused_test_results	test_outputs_only	check_test_plan_coverage|test_test_plan|test_git_hooks|test_git_hooks_parallel|check_ci_workflow_structure	check_repository_development_workflow|test_repository_development_workflow|check_test_plan_coverage|test_test_plan|test_git_hooks|test_git_hooks_parallel|check_ci_workflow_structure	local_required_ci_not_yet	approval_before_heavy_gate_if_not_requested	plan_only	repeated_failure_3|test_environment_blocker|missing_required_wiring
release_gate	6	Prove implemented behavior with same-range parent-authority synchronization, structure checks, environment-honest isolation evidence, aggregate checks, full hooks, and PR CI before merge; a headless Production release additionally requires an immutable candidate, signed source/release/transition evidence, and a real default provider probe whose pinned executable is below a private tmpfs while the host root remains read-only, and neither a CI-only bootstrap, launcher-integrity, provider-discovery, or development-selection fixture, any prerequisite-skipped positive case, any rejected document range, nor unavailable containment may be accepted as Production proof.	docs_synced_implemented|local_checks_passed	evidence_only	test_lesson_repository	check_as_built_sync_contract|check_as_built_docs|check_workflow_pair_sync|check_lesson_structure|check_lesson14_structure|check_agents_skills|test_lesson_repository	pr_ci_required|full_hooks_required|pre_commit_required|candidate_bound_activation_for_headless_production	task_scope_and_settings_for_normal_git|explicit_approval_for_destructive_or_scope_expansion	plan_only	ci_failure|sync_failure|activation_proof_failure|existing_feature_tradeoff
main_sync_cleanup	7	After an eligible merge, verify main CI, local/remote synchronization, checkout-identity-bound external Controller installation and bounded Owner actions when required, and approval-bound destructive cleanup planning.	pr_ci_passed|task_scope|settings_intersection	git_state_and_normal_sync_only	check_as_built_sync_contract|check_as_built_docs|test_lesson_repository	check_as_built_sync_contract|check_as_built_docs|test_lesson_repository	merge_required|main_ci_required|local_remote_sync_required	task_scope_and_settings_for_merge_sync|explicit_approval_for_destructive_cleanup	destructive_cleanup_plan_only_until_confirmed	main_ci_failure|remote_sync_failure|destructive_cleanup_without_approval
# next_workflow_post_exit_identity_settlement	Phase 5 accepts a successful provider result only after bounded post-exit identity settlement; matched/reused outcomes return immediately and persistent unknown status returns to the nearest implementation correction loop.
# next_workflow_owner_reconciliation_authority	Phase 7 uses confirmed immutable Owner Controller reconciliation when terminal unresolved runtime state blocks replacement Activation; the Production launcher remains isolated from Owner authority.
# next_workflow_terminal_launch_reconciliation	Phase 7 terminal launch recovery uses structured L5 planning, proves protected process absence and persisted launch evidence, settles only the spawn effect, and keeps the failed Agent result rejected.
