# phase_id	order	execution_mode	executable_check_sets	record_required	reuse_allowed	approval_required	release_policy	destructive_execution	stop_policy
# next_workflow_roll_forward	A protected release update runs the complete second-candidate lifecycle regression locally before the remote release gate; the Runner cannot reuse an older enforced record or treat PR/main CI as a substitute for that preflight.
# instruction_boundary	Runner phases consume resolved procedural guidance but cannot weaken AGENTS.MD invariants or reinterpret an invalid local instruction as absent.
context_triage	1	plan_only	none	false	false	false	no_release_proof	false	plan_first
proposal	2	plan_only	none	false	false	false	no_release_proof	false	plan_first
implementation_plan	3	plan_only	none	false	false	false	no_release_proof	false	docs_sync_only
fast_loop	4	local_checks	recommended|required	true	true	false	no_release_proof	false	scoped_runtime_only
mid_tests	5	local_checks	recommended|required	true	true	false	no_release_proof	false	medium_verification
release_gate	6	plan_only	none	false	false	false	strict_release_proof	false	owner_release_gate_only
main_sync_cleanup	7	plan_only	none	false	false	false	strict_main_sync_proof	false	task_scope_sync_and_approval_bound_destructive_cleanup
# next_workflow_boundary	These seven compatibility phases remain the fallback unless the exact repository has passed externally trusted, candidate-bound headless Activation; the paused Control Center is not an execution prerequisite and cannot grant release authority.
# next_workflow_runtime_release	A protected runtime change must prove exact same-range parent document synchronization, environment-aware isolation refusal or real containment, the focused Next Workflow aggregate, and ordinary PR/main CI without treating skipped unavailable-environment execution as production evidence; live provider discovery additionally proves its default read-only-root/private-tmpfs executable binding on a prerequisite-complete host.
# next_workflow_ci_fixture	Bootstrap, installed-launcher integrity, injected provider-discovery, and development-selection regressions may use complete private non-executed provider descriptors on CI without Codex; release proof still requires the actual installed, pinned, certified, and observed native provider, and missing real containment explicitly skips positive bootstrap and launcher integrity while guided refusal passes.
