# stage_id	order	stage_name	repository_phases	cycle_scope	write_scope	approval_mode	continuation_mode	git_policy	stop_conditions
# next_workflow_result_contract_closure	A trusted Agent task envelope publishes the exact result grammar before autonomous execution; invalid returned identifiers stop at validation and do not become an approval prompt, sanitized result, or automatic retry.
# next_workflow_roll_forward	A replacement Production candidate returns only to shadow, repeats the complete signed activation chain, and blocks runtime use until the newest candidate is enforced without deleting the prior lineage.
# authority_layer	A-F is procedural only; the applicable AGENTS.MD remains the invariant authority and exact local absence is the sole parent-fallback trigger.
A	1	pre_implementation_proposal	context_triage|proposal	current_task	plan_only	none	automatic	none	unclear_requirement|repository_mismatch|existing_feature_tradeoff|security_conflict
B	2	implementation_plan	implementation_plan	current_task	docs_planned_sync	none	automatic	none	missing_sync_id|unresolved_major_review|scope_expansion|existing_feature_tradeoff
C	3	implementation	fast_loop|mid_tests	current_task	task_scope	task_scope	automatic	none	unowned_dirty_state|repeated_failure_3|security_regression|scope_expansion|existing_feature_tradeoff
D	4	git_and_github	release_gate|main_sync_cleanup	current_task	task_scope	task_scope	automatic	settings_intersection	failed_required_check|ci_failure|unsafe_git_operation|credential_or_secret|scope_expansion|existing_feature_tradeoff
E	5	next_proposal	proposal	next_cycle	plan_only	none	automatic	none	unclear_next_goal|scope_expansion|existing_feature_tradeoff
F	6	next_roadmap	implementation_plan	next_cycle	plan_only	none	same_scope_only	none	unapproved_scope_expansion|existing_feature_tradeoff
# next_workflow_compatibility	The A-F overlay remains the compatibility procedure until the additive Next Workflow is activated through its externally trusted launcher; the paused Control Center is presentation only and is not a Production prerequisite.
# next_workflow_rigor	The additive Next Workflow selects L1-L5 rigor independently of these compatibility rows; L1-L4 stay within the original task authority, while L5 has one explicit post-plan implementation approval boundary.
# next_workflow_runtime	Protected non-UI CLI execution becomes Production-authoritative only through the externally installed launcher, immutable Git candidate, signed source/release/transition evidence, exact owner authority, real containment, persisted recovery proof, and review-gated result closure; live provider discovery retains a read-only host root and binds its pinned executable below a private writable tmpfs, while unavailable isolation stops with guidance.
# next_workflow_ci_fixture	Private non-executed complete CLI/native provider descriptors may make bootstrap, installed-launcher integrity, and injected provider-discovery or development-selection regressions portable on CI without Codex, but they grant no discovery, certification, provider execution, release, or Activation authority; containment executables are never simulated, and their absence requires explicit positive bootstrap and launcher-integrity skips plus passing guided refusal.
# next_workflow_owner_controller_identity	The immutable Owner Controller installer resolves the per-worktree checkout instance through the checkout-identity owner after clean synchronized-main validation; every Owner action resolves the same persisted identity read-only, the wrapper pins the verified Controller base, and tracked repository configuration never supplies local checkout authority.
# next_workflow_post_exit_identity_settlement	A successful provider exit may wait only through the bounded grace period while protected process identity remains unknown; matched or reused identity returns immediately, and unresolved identity fails closed.
# next_workflow_owner_reconciliation_authority	Runtime reconciliation is a confirmation-bound immutable Owner Controller action; the Production launcher continues stripping Owner authority and is not an additional conjunctive requirement for recovery.
# next_workflow_terminal_launch_reconciliation	Owner recovery uses structured L5 security-control planning; a terminal Agent launch settles only after protected process absence and persisted launch verification, without result acceptance or retry authority.
