# day_id	required_learning	required_product_docs	required_git	required_ci	required_command
Day 1	LEARNING_TASK_TRACKER_14_DAYS.md,LEARNING_HANDOFF_14_DAYS.md	-	教材リポジトリの現在地確認	-	tools/lesson14 status
Day 2	LEARNING_TASK_TRACKER_14_DAYS.md,LEARNING_HANDOFF_14_DAYS.md	-	GitHub接続とローカルGit確認	-	tools/check_git_sync.sh
Day 3	LEARNING_TASK_TRACKER_14_DAYS.md,LEARNING_HANDOFF_14_DAYS.md	AGENT.md,SESSION_MEMORY.md,FAILURE_MEMORY.md,DEVELOPER_MEMORY.md	成果物リポジトリ初回commit	-	tools/check_repository_boundary.sh
Day 4	LEARNING_TASK_TRACKER_14_DAYS.md,LEARNING_HANDOFF_14_DAYS.md	REQUIREMENTS.md,SPECIFICATION.md,IMPLEMENTATION_PLAN.md	作成文書のcommit	-	tools/check_lesson14_sync.sh
Day 5	LEARNING_TASK_TRACKER_14_DAYS.md,LEARNING_HANDOFF_14_DAYS.md	TASK_TRACKER.md,HANDOFF.md	commit,push,remote確認	main CI確認	tools/check_ci_status.sh --required
Day 6	LEARNING_TASK_TRACKER_14_DAYS.md,LEARNING_HANDOFF_14_DAYS.md	index.html,SPECIFICATION.md,TASK_TRACKER.md,HANDOFF.md	画面構成のcommit	必要ならmain CI確認	tools/check_lesson14_sync.sh
Day 7	LEARNING_TASK_TRACKER_14_DAYS.md,LEARNING_HANDOFF_14_DAYS.md	app.js,SPECIFICATION.md,TASK_TRACKER.md,HANDOFF.md	基本動作のcommit	必要ならmain CI確認	tools/check_lesson14_sync.sh
Day 8	LEARNING_TASK_TRACKER_14_DAYS.md,LEARNING_HANDOFF_14_DAYS.md	TASK_TRACKER.md,HANDOFF.md	中断再開記録のcommit	-	tools/helpdesk 一覧
Day 9	LEARNING_TASK_TRACKER_14_DAYS.md,LEARNING_HANDOFF_14_DAYS.md	TASK_TRACKER.md,HANDOFF.md	branch,PR,merge,pull同期	PR CIとmain CI確認	tools/check_git_sync.sh --required && tools/check_ci_status.sh --required
Day 10	LEARNING_TASK_TRACKER_14_DAYS.md,LEARNING_HANDOFF_14_DAYS.md	SPECIFICATION.md,IMPLEMENTATION_PLAN.md,TASK_TRACKER.md,HANDOFF.md	Playwright導入commit	E2Eローカル確認	tools/check_lesson14_sync.sh
Day 11	LEARNING_TASK_TRACKER_14_DAYS.md,LEARNING_HANDOFF_14_DAYS.md	SPECIFICATION.md,TASK_TRACKER.md,HANDOFF.md,FAILURE_MEMORY.md	E2E修正commit,push	CI E2E確認	tools/check_ci_status.sh --required
Day 12	LEARNING_TASK_TRACKER_14_DAYS.md,LEARNING_HANDOFF_14_DAYS.md	TASK_TRACKER.md,HANDOFF.md	レビュー修正commit	必要ならCI確認	tools/check_lesson14_sync.sh
Day 13	LEARNING_TASK_TRACKER_14_DAYS.md,LEARNING_HANDOFF_14_DAYS.md	AGENT.md,DEVELOPER_MEMORY.md,SPECIFICATION.md,TASK_TRACKER.md,HANDOFF.md	スキルとMCP体験commit	必要ならCI確認	tools/check_lesson14_sync.sh
Day 14	LEARNING_TASK_TRACKER_14_DAYS.md,LEARNING_HANDOFF_14_DAYS.md	REQUIREMENTS.md,SPECIFICATION.md,IMPLEMENTATION_PLAN.md,TASK_TRACKER.md,HANDOFF.md,README.md	main同期と最終commit	main CI確認	tools/check_git_sync.sh --required && tools/check_ci_status.sh --required
