# check_id	parallel_group	execution_kind	description
# test_ci_full_pipeline_acceleration_plan: lesson CLI fixture checks are classified here so full Git hooks can parallelize only mechanically independent work.
check_lesson_structure	structure	parallel	Read-only lesson structure validation can run in parallel.
check_repository_boundary	structure	parallel	Read-only repository boundary validation can run in parallel.
check_document_organization	structure	parallel	Read-only document organization validation can run in parallel.
check_learner_display	structure	parallel	Read-only learner display validation can run in parallel.
check_lesson14_structure	structure	parallel	Read-only 14-day lesson structure validation can run in parallel.
check_lesson14_sync	structure	parallel	Read-only 14-day sync-state validation can run in parallel.
check_agents_skills	structure	parallel	Read-only AGENTS and skills validation can run in parallel.
check_as_built_docs	sync	parallel	Read-only as-built document validation can run in parallel.
check_as_built_sync_contract	sync	parallel	Read-only as-built sync-contract validation can run in parallel.
check_test_plan_coverage	sync	parallel	Read-only observe-only test-plan coverage validation can run in parallel.
check_security_invariants	sync	parallel	Read-only Security guard invariant validation can run in parallel.
check_workflow_pair_sync	sync	parallel	Read-only workflow pair synchronization validation can run in parallel.
check_review_protocol	sync	parallel	Read-only review protocol validation can run in parallel.
check_developer_memory_requirements	sync	parallel	Read-only developer-memory validation can run in parallel.
check_repository_development_workflow	sync	parallel	Read-only repository development workflow validation can run in parallel.
check_repository_document_sync	sync	parallel	Read-only parent document-sync policy validation can run in parallel without external repository access.
check_development_instruction	sync	parallel	Read-only invariant/procedural instruction validation inspects only parent authorities and can run independently.
check_dashboard_design_system	sync	parallel	Read-only Dashboard Control Center design-system drift validation can run in parallel.
check_dashboard_bundle_contract	heavy	heavy	Dashboard Control Center bundle contract runs a production Vite build and should not be parallelized with other heavy browser/build checks.
test_dashboard_design_studio_events	regression	parallel	Design Studio event runner/store regression uses a temporary local store and can run in parallel.
test_docs_tour	regression	parallel	Documentation tour regression uses repository-local read checks and can run in parallel.
test_as_built_sync_contract	regression	parallel	Sync-contract regression uses fixtures and can run in parallel.
test_as_built_single_pass	regression	parallel	Single-pass regression uses isolated temporary as-built fixtures and read-only current-repository indexing.
test_test_plan	regression	parallel	Observe-only test-plan regression uses fixtures and can run in parallel.
test_repository_development_workflow	regression	parallel	Repository development workflow regression uses fixtures and can run in parallel.
test_repository_document_sync	regression	parallel	Repository document-sync regression uses temporary Git fixtures and does not access registered products.
test_development_instruction	regression	parallel	Development instruction regression uses isolated temporary parent/product fixtures for authority layers and refusal states with injected read-only Git identity and no external repository access.
test_security_invariants	regression	parallel	Security guard invariant regression uses fixtures and can run in parallel.
test_lesson_context	regression	parallel	Learner context regression is read-only and can run in parallel.
test_git_workflow_policy	regression	parallel	Git workflow policy regression uses fixtures and can run in parallel.
test_git_hooks	regression	parallel	Git hooks policy regression uses fixtures and can run in parallel.
test_resource_guard	regression	parallel	Resource guard regression uses fixtures and can run in parallel.
test_resource_guard_summary	regression	parallel	Resource guard summary regression uses fixtures and can run in parallel.
test_resource_cleanup	regression	parallel	Resource cleanup regression uses fixtures and can run in parallel.
test_git_hooks_parallel	regression	parallel	Git hooks parallel regression uses fixtures and can run in parallel.
test_fixture_copy	regression	parallel	Fixture-copy regression uses temporary directories and can run in parallel.
test_ci_evidence	regression	parallel	Same-run evidence regression uses fixtures and can run in parallel.
test_verification_foundation	regression	parallel	Verification foundation regression uses isolated temporary Git repositories and evidence stores.
test_verification_runner	regression	parallel	Verification scheduler regression uses isolated child process groups and temporary logs.
test_verification_git_hooks	regression	parallel	Verification hook adapter regression uses an isolated temporary Git repository and evidence directory.
test_dashboard_same_run_verification	regression	parallel	Dashboard same-run receipt and pure runtime-helper regression uses isolated generic build fixtures and no browser process.
test_ci_timing	regression	parallel	CI timing regression uses fixtures and can run in parallel.
test_dashboard_schema	regression	parallel	Dashboard schema regression validates repository-local TSV schema and can run in parallel.
test_dashboard_data	regression	parallel	Dashboard data regression validates repository-local JSON output and can run in parallel.
test_dashboard_data_product_repository_selection	regression	parallel	Dashboard product repository selection regression uses temporary local settings and can run in parallel.
test_control_center_core	regression	parallel	Control Center core regression validates local CLI/MCP contracts and can run in parallel.
test_dashboard_browser_debug_manifest	regression	parallel	Dashboard Browser Debug manifest regression validates generated target-manifest JSON and can run in parallel.
test_dashboard_settings	settings	serial	Dashboard settings regression can mutate configured settings fixtures and remains an explicit serial barrier.
test_dashboard_i18n	regression	parallel	Dashboard i18n static regression validates locale policy and dictionaries and can run in parallel.
test_dashboard_control_center	heavy	heavy	React/Vite dashboard control-center regression uses browser tooling and its own resource controls.
test_ci_final_gate	regression	parallel	Final-gate regression uses fixtures and can run in parallel.
test_ci_pipeline_acceleration	regression	parallel	CI pipeline acceleration regression is read-only and can run in parallel.
test_ci_composition	regression	parallel	CI composition regression uses read-only authorities and isolated proof/gap fixtures.
check_ci_workflow_structure	regression	parallel	CI workflow structure validation is read-only and can run in parallel.
test_menu_prerequisites	regression	parallel	Menu prerequisite regression uses fixtures and can run in parallel.
test_product_gate_tools	regression	parallel	Product gate regression uses fixtures and can run in parallel.
test_product_launch_check	regression	parallel	Product launch-path regression uses temporary repositories and can run in parallel.
test_product_scaffold_check	regression	parallel	Product scaffold regression uses temporary repositories and can run in parallel.
test_product_repository_cleanup	regression	parallel	Product repository cleanup regression uses fixtures and can run in parallel.
test_product_repository_authority	regression	parallel	Product repository authority regression uses temporary repositories and can run in parallel.
test_product_repository_mode	regression	parallel	Product repository operation-mode regression uses temporary repositories and can run in parallel.
test_product_security	regression	parallel	Product security regression uses fixtures and can run in parallel.
test_product_git_usage_modes	regression	parallel	Product Git usage mode regression uses temporary repositories and can run in parallel.
test_lesson_playwright	heavy	heavy	Playwright is browser-heavy and uses its own resource guard profile.
test_lesson_start_position	lesson-cli	parallel	Lesson start-position regression mutates only fixture lesson state and can run in parallel.
test_lesson	lesson-cli	parallel	Lesson CLI regression mutates only fixture lesson state and can run in parallel.
test_lesson14	lesson-cli	parallel	Lesson14 CLI regression mutates only fixture lesson state and can run in parallel.
check_next_workflow	regression	parallel	Next Workflow contract, model-selection, release, and protected-runtime syntax checks are read-only and do not resume the paused Control Center scope.
test_next_workflow	regression	parallel	Next Workflow regression uses isolated parent/child/document-sync fixtures, private temporary SQLite state, external launcher fixtures, and ephemeral signing keys; contained CLI cases run only after real prerequisite diagnosis and otherwise test guided refusal.
test_lesson_repository	final	final-gate	Same-run evidence final gate remains the final local gate.
